"","canton","type","N","fails","roc_auc","pr_auc"
"1","SZ","Nicht angemeldet",10,1,1,1
"2","JU","Angemeldet",136,2,0.899253731343284,0.0638777201810312
"3","OW","Nicht angemeldet",8,1,0.857142857142857,0.0750959210364504
"4","OW","Angemeldet",18,1,0.852941176470588,0.153426409720027
"5","AI","Angemeldet",48,2,0.826086956521739,0.0239242461049956
"6","GE","Nicht angemeldet",4,2,0.75,0.365744337268246
"7","VD","Nicht angemeldet",30,4,0.701923076923077,0.185283304320088
"8","LU","Angemeldet",202,15,0.699286987522282,0.238805771689218
"9","NW","Nicht angemeldet",42,7,0.697959183673469,0.367637004199463
"10","TG","Angemeldet",315,20,0.683898305084746,0.218742838781881
"11","SO","Angemeldet",175,12,0.677402862985685,0.124423481518328
"12","AG","Nicht angemeldet",12,4,0.671875,0.405423849271101
"13","BE","Angemeldet",1664,129,0.65627351463273,0.120669297335038
"14","GE","Angemeldet",34,2,0.65625,0.0458016905834737
"15","GR","Nicht angemeldet",29,4,0.65,0.261169919014229
"16","AI","Nicht angemeldet",17,1,0.625,0.0468982019567523
"17","AG","Angemeldet",177,8,0.615384615384615,0.0352385024209105
"18","ZH","Nicht angemeldet",76,2,0.611486486486487,0.0315024103971435
"19","VD","Angemeldet",993,12,0.587580699966021,0.00937999492387448
"20","VS","Nicht angemeldet",70,30,0.5725,0.452710898041544
"21","GR","Angemeldet",299,26,0.572062552831784,0.0738659395655179
"22","SH","Angemeldet",9,2,0.571428571428571,0.241185784922685
"23","TI","Nicht angemeldet",38,9,0.57088122605364,0.19745106692562
"24","SG","Nicht angemeldet",38,5,0.563636363636364,0.198762143115114
"25","UR","Nicht angemeldet",24,10,0.546428571428571,0.517644672015622
"26","FR","Angemeldet",320,10,0.532258064516129,0.0366881805964585
"27","SG","Angemeldet",251,15,0.515960451977401,0.0562968102394459
"28","VS","Angemeldet",182,3,0.482309124767225,0.017120245031971
"29","AR","Angemeldet",64,0,NA,NA
"30","AR","Nicht angemeldet",2,0,NA,NA
"31","BE","Nicht angemeldet",4,0,NA,NA
"32","BL","Angemeldet",7,0,NA,NA
"33","BL","Nicht angemeldet",14,0,NA,NA
"34","GL","Angemeldet",27,0,NA,NA
"35","GL","Nicht angemeldet",3,0,NA,NA
"36","JU","Nicht angemeldet",2,0,NA,NA
"37","NE","Angemeldet",18,0,NA,NA
"38","NW","Angemeldet",51,0,NA,NA
"39","SO","Nicht angemeldet",1,0,NA,NA
"40","SZ","Angemeldet",29,0,NA,NA
"41","TI","Angemeldet",21,0,NA,NA
"42","UR","Angemeldet",21,0,NA,NA
"43","ZG","Angemeldet",1,0,NA,NA
"44","ZH","Angemeldet",10,0,NA,NA
