"","canton","type","N","fails","roc_auc","pr_auc"
"1","AR","Angemeldet",31,1,1,0.0163053153102757
"2","JU","Angemeldet",10,1,1,1
"3","SH","Nicht angemeldet",26,1,1,1
"4","ZG","Nicht angemeldet",25,1,0.916666666666667,0.0220612234416606
"5","AR","Nicht angemeldet",20,2,0.847222222222222,0.241997877888699
"6","SZ","Nicht angemeldet",30,1,0.827586206896552,0.0883922160302266
"7","BL","Nicht angemeldet",59,2,0.754385964912281,0.0830643395322068
"8","VD","Angemeldet",17,4,0.75,0.375061819405354
"9","VS","Nicht angemeldet",19,2,0.720588235294118,0.0703284060445591
"10","FR","Angemeldet",25,2,0.717391304347826,0.0532816679502799
"11","SO","Nicht angemeldet",44,2,0.69047619047619,0.0855571387648235
"12","LU","Angemeldet",316,19,0.683856104908736,0.103468260830946
"13","TI","Nicht angemeldet",24,5,0.678947368421053,0.308485440035419
"14","SG","Angemeldet",112,5,0.671028037383178,0.0658671086836095
"15","AI","Angemeldet",18,2,0.65625,0.0804141927092813
"16","SZ","Angemeldet",57,4,0.650943396226415,0.0893183249233313
"17","OW","Nicht angemeldet",16,2,0.642857142857143,0.156236266524986
"18","TG","Angemeldet",167,5,0.641975308641975,0.0452419344589037
"19","ZH","Nicht angemeldet",207,9,0.628507295173962,0.122873929739395
"20","GR","Nicht angemeldet",230,8,0.617398648648649,0.0841504233393529
"21","SG","Nicht angemeldet",279,7,0.586659663865546,0.0285969933413946
"22","NW","Nicht angemeldet",13,1,0.583333333333333,0.0883922160302266
"23","SH","Angemeldet",41,1,0.575,0.0208517585313935
"24","BE","Nicht angemeldet",183,13,0.572850678733032,0.0984772646453329
"25","LU","Nicht angemeldet",206,19,0.548128342245989,0.224488793848006
"26","AG","Nicht angemeldet",120,4,0.537715517241379,0.0293775426141564
"27","BE","Angemeldet",181,9,0.536175710594315,0.0485630754581008
"28","SO","Angemeldet",16,1,0.533333333333333,0.0652802516283424
"29","GL","Nicht angemeldet",25,1,0.5,0.0394875079175634
"30","VS","Angemeldet",37,9,0.498015873015873,0.263239915608488
"31","TG","Nicht angemeldet",198,10,0.497074468085106,0.0580239703247024
"32","TI","Angemeldet",18,3,0.488888888888889,0.436123723102435
"33","FR","Nicht angemeldet",109,11,0.48886827458256,0.0988387304152828
"34","ZH","Angemeldet",182,7,0.459591836734694,0.0706562080885084
"35","AG","Angemeldet",19,0,NA,NA
"36","AI","Nicht angemeldet",11,0,NA,NA
"37","BL","Angemeldet",22,0,NA,NA
"38","GE","Angemeldet",2,0,NA,NA
"39","GE","Nicht angemeldet",2,0,NA,NA
"40","GL","Angemeldet",2,0,NA,NA
"41","GR","Angemeldet",11,0,NA,NA
"42","JU","Nicht angemeldet",4,0,NA,NA
"43","NE","Angemeldet",45,0,NA,NA
"44","NE","Nicht angemeldet",8,0,NA,NA
"45","NW","Angemeldet",39,0,NA,NA
"46","OW","Angemeldet",11,0,NA,NA
"47","UR","Angemeldet",5,0,NA,NA
"48","UR","Nicht angemeldet",4,0,NA,NA
"49","VD","Nicht angemeldet",60,0,NA,NA
"50","ZG","Angemeldet",48,0,NA,NA
