"","canton","type","N","fails","roc_auc","pr_auc"
"1","UR","Nicht angemeldet",20,1,1,0.0254274066365388
"2","GL","Nicht angemeldet",60,1,0.983050847457627,0.00852286516056466
"3","BL","Angemeldet",48,1,0.978723404255319,0.306852819440055
"4","UR","Angemeldet",27,2,0.94,0.665284673028685
"5","BL","Nicht angemeldet",60,1,0.88135593220339,0.00949386152388954
"6","VD","Nicht angemeldet",86,7,0.805605786618445,0.335358652828318
"7","SO","Angemeldet",138,1,0.795620437956204,0.00455929160322999
"8","OW","Nicht angemeldet",22,4,0.694444444444444,0.490727991368675
"9","AI","Nicht angemeldet",22,2,0.6875,0.141656319911865
"10","AG","Angemeldet",20,1,0.684210526315789,0.0365963620016183
"11","VS","Angemeldet",141,6,0.674691358024691,0.229956319071124
"12","FR","Nicht angemeldet",159,12,0.670634920634921,0.157823655608587
"13","VD","Angemeldet",28,1,0.666666666666667,0.051755359079563
"14","TI","Nicht angemeldet",48,7,0.663763066202091,0.241815982682381
"15","TG","Angemeldet",278,9,0.625774473358116,0.0641627970766795
"16","AR","Angemeldet",114,4,0.623863636363636,0.0263786828058871
"17","ZG","Nicht angemeldet",31,5,0.623076923076923,0.268153014081418
"18","VS","Nicht angemeldet",61,4,0.62280701754386,0.0910451233602611
"19","LU","Angemeldet",421,29,0.612420830401126,0.178854492662855
"20","ZH","Angemeldet",237,12,0.611296296296296,0.104112488785974
"21","JU","Angemeldet",35,1,0.602941176470588,0.0234491009783739
"22","GR","Nicht angemeldet",336,12,0.601594650205761,0.0461600590262502
"23","ZH","Nicht angemeldet",281,21,0.600457875457875,0.093437444338091
"24","GL","Angemeldet",11,1,0.6,0.107425794743161
"25","OW","Angemeldet",26,1,0.6,0.0468982019567523
"26","SZ","Nicht angemeldet",49,6,0.598837209302326,0.101089532840716
"27","BE","Angemeldet",1562,18,0.582721646516983,0.0157434855630848
"28","BE","Nicht angemeldet",450,30,0.575714285714286,0.0887283689743296
"29","FR","Angemeldet",294,10,0.572007042253521,0.0370230840901349
"30","AR","Nicht angemeldet",66,2,0.5703125,0.0262140547459626
"31","SO","Nicht angemeldet",66,2,0.56640625,0.0264150461707761
"32","AG","Nicht angemeldet",144,3,0.559101654846336,0.0217674594540667
"33","NE","Angemeldet",36,2,0.558823529411765,0.0659017496064488
"34","ZG","Angemeldet",75,2,0.534246575342466,0.0238260639503158
"35","SG","Nicht angemeldet",447,33,0.527850973503147,0.0711209573593409
"36","NW","Nicht angemeldet",25,2,0.521739130434783,0.092073247883625
"37","TG","Nicht angemeldet",194,7,0.518334606569901,0.0397513524170076
"38","LU","Nicht angemeldet",245,25,0.507909090909091,0.136675562829067
"39","SG","Angemeldet",160,9,0.504047093451067,0.0569578988294542
"40","SZ","Angemeldet",98,12,0.503391472868217,0.11680203388161
"41","AI","Angemeldet",76,0,NA,NA
"42","GE","Angemeldet",6,0,NA,NA
"43","GE","Nicht angemeldet",1,1,NA,NA
"44","GR","Angemeldet",20,0,NA,NA
"45","JU","Nicht angemeldet",9,0,NA,NA
"46","NE","Nicht angemeldet",5,0,NA,NA
"47","NW","Angemeldet",61,0,NA,NA
"48","SH","Angemeldet",27,0,NA,NA
"49","SH","Nicht angemeldet",16,0,NA,NA
"50","TI","Angemeldet",40,0,NA,NA
